id_devolucao,id_pedido,id_produto,data_devolucao,motivo_devolucao,valor_reembolso
1,4586,104,2023-04-15,Produto com defeito,2513.9
2,7331,185,2023-03-17,Produto danificado,3869.79
3,6767,140,2023-12-05,Produto danificado,1170.6
4,41344,136,2023-11-23,Produto danificado,1400.49
5,43100,154,2023-09-20,Produto errado,1128.77
6,44563,47,2023-02-18,Produto errado,1139.51
7,28010,161,2023-05-01,Produto danificado,1535.65
8,44151,145,2023-03-31,Atraso na entrega,233.33
9,19036,223,2023-12-10,Atraso na entrega,1738.08
10,32297,153,2023-11-09,Produto danificado,474.48
11,29370,87,2023-04-14,Produto com defeito,1648.74
12,25668,175,2023-04-16,Produto com defeito,172.4
13,18070,23,2023-12-02,Atraso na entrega,246.1
14,26713,180,2023-07-01,Produto danificado,196.05
15,49205,237,2023-11-21,Produto danificado,871.23
16,24585,96,2023-11-06,Atraso na entrega,470.6
17,39484,74,2023-08-17,Produto danificado,471.57
18,42776,199,2023-02-14,Insatisfacao do cliente,902.02
19,35485,73,2023-11-11,Produto danificado,1362.52
20,6531,144,2023-10-16,Produto com defeito,1071.69
21,20399,217,2023-09-07,Insatisfacao do cliente,1376.3
22,11851,60,2023-09-22,Produto com defeito,740.82
23,23998,114,2023-03-16,Atraso na entrega,965.81
24,15612,147,2023-10-21,Atraso na entrega,3646.03
25,7405,115,2023-01-17,Produto errado,218.88
26,26672,205,2023-09-20,Produto danificado,641.03
27,22943,197,2023-09-13,Produto com defeito,1987.67
28,14719,121,2023-02-25,Produto com defeito,1168.34
29,22508,62,2023-03-04,Atraso na entrega,552.25
30,5893,66,2023-01-24,Insatisfacao do cliente,1910.44
31,23385,122,2023-09-22,Insatisfacao do cliente,208.06
32,1612,196,2023-10-02,Insatisfacao do cliente,761.78
33,19835,192,2023-09-12,Produto com defeito,3145.03
34,5771,219,2023-09-17,Atraso na entrega,1206.17
35,6728,173,2023-03-26,Produto errado,3958.61
